Name	Type	PricePerHourPAYG	PricePerHourLP	ACU	CoreFactor	CoreFactorIndex	SSD	NumberOfCores	MemoryInMB	MaxNics	Bandwidth	MaxDataDiskCount	MaxDataDiskSizeGB	MaxDataDiskIops	MaxDataDiskThroughputMBs	MaxVmIops	MaxVmThroughputMBs	ResourceDiskSizeInMB	TempDiskSizeInGB	TempDiskIops	TempDiskReadMBs	TempDiskWriteMBs	SAPS2T	SAPS3T	HANA
Basic_A0	VM	0.016	Not Available	43	43	0.37	No	1	768	2	unknown	1	4096	300	60	300	60	20480	20	Unknown	Unknown	Unknown	Not Supported	Not Supported	Not Supported
Basic_A1	VM	0.023	Not Available	50	50	0.46	No	1	1792	2	unknown	2	8192	600	120	600	120	40960	40	Unknown	Unknown	Unknown	Not Supported	Not Supported	Not Supported
Basic_A2	VM	0.066	Not Available	50	100	0.66	No	2	3584	2	unknown	4	16384	1200	240	1200	240	61440	60	Unknown	Unknown	Unknown	Not Supported	Not Supported	Not Supported
Basic_A3	VM	0.173	Not Available	50	200	0.87	No	4	7168	2	unknown	8	32768	2400	480	2400	480	122880	120	Unknown	Unknown	Unknown	Not Supported	Not Supported	Not Supported
Basic_A4	VM	0.345	Not Available	50	400	0.86	No	8	14336	2	unknown	16	65536	4800	960	4800	960	245760	240	Unknown	Unknown	Unknown	Not Supported	Not Supported	Not Supported
LargeInstances_S192	LI	Unknown	Unknown	Unknown	Unknown	 Unknown 	HANA	192	2097152	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	Unknown	Unknown	Unknown	Not Supported	Not Supported	Not Supported
LargeInstances_S192m	LI	Unknown	Unknown	Unknown	Unknown	 Unknown 	HANA	192	4194304	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	Unknown	Unknown	Unknown	Not Supported	Not Supported	Not Supported
LargeInstances_S384	LI	Unknown	Unknown	Unknown	Unknown	 Unknown 	HANA	384	4194304	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	Unknown	Unknown	Unknown	Not Supported	Not Supported	Not Supported
LargeInstances_S384m	LI	Unknown	Unknown	Unknown	Unknown	 Unknown 	HANA	384	6291456	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	Unknown	Unknown	Unknown	Not Supported	Not Supported	Not Supported
LargeInstances_S384xm	LI	Unknown	Unknown	Unknown	Unknown	 Unknown 	HANA	384	8388608	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	 Unknown 	Unknown	Unknown	Unknown	Not Supported	Not Supported	Not Supported
